side,indicator_id,signal_role,strategy_role,namespace,tested_count,positive_count,strong_count,best_score,avg_positive_score,top_partners,top_partner_strategy_roles,top_timeframes,top_lanes
second,MA_SLOPE_MEAN_REVERSION,context,mean-reversion,Trend,172,27,4,71.7,60.9993,"TOBY_CRABEL_NARROW_RANGE,KEY_REVERSAL_SIGNAL,MACD_CROSSOVER,AROON_TREND,CHAIKIN_AD_TREND,ADOSC_TREND,TRENDFLEX_CONFIRM,NVO_VOLUME_IMPULSE","confirm,trend,filter,unknown,mean-reversion,breakout","M15,M5","wild_diversity,proven_neighbor"
second,MINUS_DI_MEAN_REVERSION,context,mean-reversion,Trend,172,35,4,71.6636,62.6348,"STOCHF_TREND,ROOFING_FILTER_CONFIRM,ROLLING_VOLUME_PROFILE_CONTEXT,KEY_REVERSAL_SIGNAL,AROON_TREND,BUFFERED_RANGE_BREAKOUT_SIGNAL,TOBY_CRABEL_NARROW_RANGE,STOCH_TREND","trend,confirm,breakout,filter,unknown,mean-reversion","M15,M5","wild_diversity,proven_neighbor"
second,SPEARMAN_RANK_CORRELATION,setup,confirm,Statistics,172,7,2,71.5715,63.3316,"KELTNER_CHANNEL_MEAN_REVERSION,STOCH_MEAN_REVERSION,MFI_MEAN_REVERSION,MA_DISTANCE_MEAN_REVERSION,THRUST_BAR_SIGNAL,PLUS_DI_MEAN_REVERSION","mean-reversion,confirm","M15,M5","plausible_novel,wild_diversity"
second,AROON_TREND,context,trend,Momentum,172,9,2,71.5341,60.7389,"STOCH_MEAN_REVERSION,WEIS_WAVE_FORCE_MEAN_REVERSION,MA_SPREAD_MEAN_REVERSION,MACD_HISTOGRAM_PIPS_MEAN_REVERSION,WILLR_MEAN_REVERSION,GARCH_VOLATILITY_REGIME,PRICE_RECLAIM_MA,MOM_MEAN_REVERSION","mean-reversion,filter,confirm","M15,M5",wild_diversity
second,ATR_STEP_TREND_FILTER,filter,filter,Trend,172,1,1,71.4887,71.4887,CMO_MEAN_REVERSION,mean-reversion,M5,wild_diversity
second,PLUS_DI_TREND,context,trend,Trend,172,14,1,71.4766,59.9175,"OBV_MEAN_REVERSION,KEY_REVERSAL_SIGNAL,TTF_DSL_TRANSITION,STOCHF_MEAN_REVERSION,MINUS_DI_TREND,MINUS_DI_MEAN_REVERSION,STOCHRSI_CROSSBACK,BUFFERED_RANGE_BREAKOUT_SIGNAL","mean-reversion,confirm,trend,breakout","M15,M5","wild_diversity,proven_neighbor"
second,CCI_MEAN_REVERSION,setup,mean-reversion,Momentum,172,16,1,71.3474,62.8669,"EHLERS_FISHER_TRANSITION,ROOFING_FILTER_CONFIRM,MARKET_MODE_TRANSITION,CANDLE_DIRECTION_INDEX,EHLERS_FISHER_STATE_FILTER,KEY_REVERSAL_SIGNAL,WEIS_WAVE_FORCE_TREND,TOBY_CRABEL_NARROW_RANGE","confirm,filter,trend,mean-reversion","M15,M5","wild_diversity,plausible_novel,proven_neighbor"
second,SAR_MEAN_REVERSION,context,mean-reversion,Trend,172,14,2,71.2124,59.1915,"ULTOSC_TREND,BOLLINGER_KELTNER_SQUEEZE_RELEASE,THRUST_BAR_SIGNAL,KELTNER_CHANNEL_BREAKOUT,WILLR_TREND,BREAKOUT_FIRST_CLOSE,CCI_TREND,GARCH_VOLATILITY_REGIME","trend,breakout,confirm,filter","M15,M5",wild_diversity
second,CHAIKIN_AD_MEAN_REVERSION,context,mean-reversion,Volume,172,12,1,70.9549,60.4547,"BBANDS_POSITION_TREND,STOCH_TREND,CANDLE_DIRECTION_INDEX,PMO_CROSSOVER,GARCH_VOLATILITY_REGIME,CCI_TREND,MFI_TREND,WILLR_TREND","trend,confirm,filter,breakout","M15,M5","wild_diversity,proven_neighbor"
second,KALMAN_VELOCITY_CONFIRM,setup,confirm,Trend,172,11,2,70.8161,63.5775,"MINUS_DI_MEAN_REVERSION,PLUS_DI_MEAN_REVERSION,AROON_MEAN_REVERSION,MA_DISTANCE_MEAN_REVERSION,PMO_CROSSOVER,KELTNER_CHANNEL_MEAN_REVERSION,WEIS_WAVE_FORCE_MEAN_REVERSION,MACD_CROSSOVER","mean-reversion,confirm,unknown,filter","M15,M5",proven_neighbor
